old	new	old_len	new_len
monteCarloRadiosityPatchComputeNewColor	mntCarloRadPtchCompNewClr	39	25
monteCarloRadiosityRegularSubdivideQuad	mntCarloRadRegSbdvdQuad	39	23
monteCarloRadiosityUpdateViewImportance	mntCarloRadUpdViewImp	39	21
randomWalkRadiosityDoGatheringIteration	rndmWalkRadDGthrnItrtn	39	22
stochasticRadiosityMultiplyCoefficients	stchsRadMltplCoeff	39	18
stochasticRaytracerGetScatteredRadiance	stchsRaytrcGetScttrRadn	39	23
STOCHASTIC_RELAXATION_RADIOSITY_METHOD	STCHS_RLXTN_RDSTY_MTHD	38	22
__PROJECTED_AREA_ACCUMULATOR_VISITOR__	PRJCT_AREA_ACCML_VSTR	38	21
__REVISED_TUMBLIN_RUSHMEIER_TONE_MAP__	RVSD_TMBLN_RSHMR_TONE_MAP	38	25
__STOCHASTIC_JACOBI_RADIOSITY_METHOD__	STCHS_JCB_RDSTY_MTHD	38	20
__STOCHASTIC_RAYTRACER_CALLBACK_DATA__	STCHS_RYTRC_CLLBC_DATA	38	22
__STOCHASTIC_RAYTRACING_CSEED_CONFIG__	STCHS_RYTRC_CSD_CNFG	38	20
__VISUAL_DEBUG_TOOLS_GLUT_DEBUG_MODE__	VSL_DBG_TLS_GLUT_DBG_MODE	38	25
hierarchicRefinementApproximationError	hierRefApprxErrr	38	16
hierarchicRefinementLinkErrorThreshold	hierRefLinkErrrThrsh	38	20
randomWalkRadiosityDoShootingIteration	rndmWalkRadDShootItrtn	38	22
sceneBuilderCollectGeometriesRecursive	sceneBldCollectGeomsRec	38	23
stochasticRadiosityElementPullRadiance	stchsRadElemPullRadn	38	20
stochasticRadiosityElementPushRadiance	stchsRadElemPushRadn	38	20
BidirectionalPathTracingConfiguration	BidirPathTraceConfig	37	20
DEFAULT_GAL_ITERATION_NOT_INITIALIZED	DF_GAL_ITRTN_NOT_INTLZ	37	22
MINIMUM_NUMBER_OF_PATCHES_PER_CLUSTER	MIN_NUM_O_PTCH_PER_CLST	37	23
__BINARY_MODEL_READER_VERTEX_RECORD__	BNRY_MDL_RDR_VRTX_RCRD	37	22
__COMMAND_LINE_CAMERA_OPTIONS_GROUP__	CMMND_LINE_CMR_OPTNS_GRP	37	24
__COMMAND_LINE_RENDER_OPTIONS_GROUP__	CMMND_LINE_RNDR_OPTNS_GRP	37	25
__DEPTH_VISIBILITY_GATHERER_VISITOR__	DPTH_VSBLT_GTHRR_VSTR	37	21
__PHOTON_MAP_DENSITY_CONTROL_OPTION__	PHTN_MAP_DNSTY_CNTRL_OPTN	37	25
__STOCHASTIC_RADIOSITY_ELEMENT_TYPE__	STCHS_RDSTY_ELMNT_TYPE	37	22
commandLineGeneralProgramParseOptions	cmmndLineGenProgParseOpts	37	25
computeAreaToAreaFormFactorVisibility	cmptAreaTAreaFormFactorVis	37	26
monteCarloRadiosityCreateClusterChild	mntCarloRadCreateClustChld	37	26
stochasticJacobiReceiverProjectedArea	stchsJacRecvPrjctArea	37	21
stochasticJacobiUniformHitCoordinates	stchsJacUnfrmHitCrdnt	37	21
DEFAULT_GAL_REL_LINK_ERROR_THRESHOLD	DF_GAL_REL_LINK_ERRR_THRSH	36	26
__BIDIRECTIONAL_PATH_TRACING_STATE__	BDRCT_PATH_TRCNG_STT	36	20
__BINARY_MODEL_READER_MODEL_RECORD__	BNRY_MDL_RDR_MDL_RCRD	36	21
__BINARY_MODEL_READER_PATCH_RECORD__	BNRY_MDL_RDR_PTCH_RCRD	36	22
__COMMAND_LINE_BATCH_OPTIONS_GROUP__	CMMND_LINE_BTCH_OPTNS_GRP	36	25
